inn,name,employees,employees_norm,okved_main,source,revenue_year,revenue,site,region,phone,email
7723011060,"АО ""АТГС""",136,0.0916030534351145,Деятельность по подготовке компьютерных систем к эксплуатации(62.02.4),"list-org.com, rusprofile.ru",2024,1258580.0,http://atgs.ru,Г.Москва,+7 (495) 660-08-02,"atgs@atgs.ru, isheva@atgs.ru, lapegina@atgs.ru, lubisheva@atgs.ru"
7713011008,"ООО ""МЕТТЭМ-М""",160,0.15267175572519084,"Деятельность по планированию, проектированию компьютерных систем(62.02.1)","list-org.com, rusprofile.ru",2024,2102140.0,http://mettem-m.ru,Г.Москва,,4800561@mail.ru
6165000652,"ООО ""НПП ""ЮГПРОМАВТОМАТИЗАЦИЯ"" или ООО ""НПП ""ЮГПА""",389,0.7353689567430025,Деятельность по подготовке компьютерных систем к эксплуатации(62.02.4),"list-org.com, rusprofile.ru",2024,1338750.0,www.ugpa.ru,Ростовская Область,+7 (863) 245-45-09,info@ugpa.ru
3666088317,"ФАУ ""ГНИИИ ПТЗИ ФСТЭК России""",242,0.361323155216285,Деятельность в области защиты информации и обеспечения безопасности критической информационной инфраструктуры(74.90.9),"list-org.com, rusprofile.ru",2024,1368440.0,www.rosdornii-vrn.ru,Воронежская Область,+7 (473) 253-99-85,"gniii@fstec.ru, ptzi2015@yandex.ru"
7719165935,"АО ""АЛАДДИН Р.Д.""",185,0.21628498727735368,"Производство средств защиты информации, а также информационных и телекоммуникационных систем, защищенных с использованием средств защиты информации(26.20.4)","list-org.com, rusprofile.ru",2024,1109860.0,www.aladdin-rd.ru,Г.Москва,+7 (495) 223-00-01,aladdin@aladdin-rd.ru
7705051215,"ЗАО ""НТ""",365,0.6743002544529262,Торговля оптовая программным обеспечением(46.51.2),"list-org.com, rusprofile.ru",2024,5789940.0,http://norsi-trans.ru,Г.Москва,+7 (495) 238-98-42,a-zhukova@norsi-trans.ru
7715216804,"ООО ""ИНЛАЙН ТЕХНОЛОДЖИС""",231,0.3333333333333333,Торговля оптовая программным обеспечением(46.51.2),"list-org.com, rusprofile.ru",2024,5374890.0,http://in-line.ru | http://setec.ru,Г.Москва,+7 (495) 721-35-05,"d.borodina@in-line.ru, e.ivanova@in-line.ru, e.kazeko@in-line.ru, e_ivanova@in-line.ru, i.potapova@"
6501015270,"ООО ""КРИЛЬОН-СЕРВИС""",134,0.08651399491094147,Деятельность в области защиты информации и обеспечения безопасности критической информационной инфраструктуры(74.90.9),"list-org.com, rusprofile.ru",2024,2458130.0,www.kriljonservice.ru,Сахалинская Область,+7 (4242) 49-93-01,"sales@kriljonservice.ru, e.bondar@kriljonservice.ru, o.volkov@kriljonservice.ru"
5054004240,"ООО ""ЦБИ""",256,0.3969465648854962,Деятельность в области защиты информации и обеспечения безопасности критической информационной инфраструктуры(74.90.9),"list-org.com, rusprofile.ru",2024,2158420.0,http://cbi-info.ru,Московская Область,,"buh@cbi-info.ru, chetves@cbi-info.ru, mail@cbi-info.ru"
5408114571,"ООО ""СИГНАТЕК""",134,0.08651399491094147,"Производство средств защиты информации, а также информационных и телекоммуникационных систем, защищенных с использованием средств защиты информации(26.20.4)","list-org.com, rusprofile.ru",2024,725801.0,www.signatec.ru,Новосибирская Область,+7 (383) 333-22-35,"market@signatec.ru, ksenchuk@signatek.ru, job@signatec.ru, sov@signatec.ru"
7703313144,"ООО""МОНТ""",274,0.44274809160305345,Торговля оптовая программным обеспечением(46.51.2),"list-org.com, rusprofile.ru",2024,49782000.0,www.mont.com,Г.Москва,+7 (495) 253-70-69,"omatasova@mont.com, omatasova@mont.ru, mont@mont.com"
6165112300,"ООО ""ОФИСНЫЙ МИР КМ""",231,0.3333333333333333,Торговля оптовая программным обеспечением(46.51.2),"list-org.com, rusprofile.ru",2024,1547640.0,http://istore.km-union.ru,Г.Москва,+7 (863) 227-61-28,thall@km-union.ru
